backend,device,dtype,size,n_end,time
torch,cpu,float64,64,6,0.18612766299884242
torch,cpu,float64,64,8,0.49227827100003196
torch,cpu,float64,64,10,0.9942352460002439
torch,cpu,float64,64,12,1.7961101589989994
torch,cpu,float64,64,14,2.9604527890005556
torch,cpu,float64,256,2,0.008223085000281571
torch,cpu,float64,256,4,0.056202689000201644
torch,cpu,float64,256,6,0.20792409100067744
torch,cpu,float64,256,8,0.553981830000339
torch,cpu,float64,256,10,1.1581515819998458
torch,cpu,float64,256,12,2.0411873209995974
torch,cpu,float64,256,14,3.387012720000712
torch,cpu,float64,1024,2,0.010779657999592018
torch,cpu,float64,1024,4,0.07262201000048663
torch,cpu,float64,1024,6,0.32314164499985054
torch,cpu,float64,1024,8,0.795324046001042
torch,cpu,float64,1024,10,1.6135920360011369
torch,cpu,float64,1024,12,2.8991028210002696
torch,cpu,float64,1024,14,4.847417809000035
numpy,cpu,float32,4,2,0.002858046000255854
numpy,cpu,float32,4,4,0.01766040599977714
numpy,cpu,float32,4,6,0.060285411000222666
numpy,cpu,float32,4,8,0.14688806900085183
numpy,cpu,float32,4,10,0.29261237299942877
numpy,cpu,float32,4,12,0.5058009000003949
numpy,cpu,float32,4,14,0.8105270669984748
numpy,cpu,float32,16,2,0.0026761150002130307
numpy,cpu,float32,16,4,0.01763453599960485
numpy,cpu,float32,16,6,0.059873776001040824
numpy,cpu,float32,16,8,0.15123757400033355
numpy,cpu,float32,16,10,0.2972485419995792
numpy,cpu,float32,16,12,0.5373617639997974
numpy,cpu,float32,16,14,0.8576597600003879
numpy,cpu,float32,64,2,0.00288103700040665
numpy,cpu,float32,64,4,0.019042012998397695
numpy,cpu,float32,64,6,0.06370312499893771
numpy,cpu,float32,64,8,0.1625145979996887
numpy,cpu,float32,64,10,0.33469280100143806
numpy,cpu,float32,64,12,0.611006395000004
numpy,cpu,float32,64,14,0.9917318250008975
numpy,cpu,float32,256,2,0.0033670530010567745
numpy,cpu,float32,256,4,0.02328056800070044
numpy,cpu,float32,256,6,0.08661139799914963
numpy,cpu,float32,256,8,0.2827206260008097
numpy,cpu,float32,256,10,0.4850950539985206
numpy,cpu,float32,256,12,0.893900102999396
numpy,cpu,float32,256,14,1.4870615979998547
numpy,cpu,float32,1024,2,0.00538008900002751
numpy,cpu,float32,1024,4,0.04626473200005421
numpy,cpu,float32,1024,6,0.21125676199881127
numpy,cpu,float32,1024,8,0.8004155559992796
numpy,cpu,float32,1024,10,1.27128460700078
numpy,cpu,float32,1024,12,2.326554600000236
numpy,cpu,float32,1024,14,4.090798306000579
numpy,cpu,float64,4,2,0.0026377039994258666
